ID	Well1	Kingdom	Phylum	Class	Order	Family	Genus	Species	ID
Sphingopyxis sp. 25F5	25_F5	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Unassigned	Sphingopyxis sp. 25F5
Caulobacter sp. 7H3	7_H3	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Unassigned	Caulobacter sp. 7H3
Caulobacter sp. 5B5	5_B5	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Unassigned	Caulobacter sp. 5B5
Brevundimonas sp. 4F8	4_F8	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Unassigned	Brevundimonas sp. 4F8
Ralstonia sp. 4C8	4_C8	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Unassigned	Ralstonia sp. 4C8
Lysobacter sp. 4C11	4_C11	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	Unassigned	Lysobacter sp. 4C11
Lysobacter sp. 4C12	4_C12	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	Unassigned	Lysobacter sp. 4C12
Oxalobacteraceae_Unassigned sp. 9C5	9_C5	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalobacteraceae_Unassigned	Unassigned	Oxalobacteraceae_Unassigned sp. 9C5
Variovorax sp. 4D10	4_D10	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Unassigned	Variovorax sp. 4D10
Pseudoxanthomonas sp. 4E7	4_E7	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	s:uncultured_bacterium	Pseudoxanthomonas sp. 4E7
Enterobacteriaceae_Unassigned sp. 20A9	20_A9	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacteriaceae_Unassigned	Unassigned	Enterobacteriaceae_Unassigned sp. 20A9
Stenotrophomonas sp. 4G1	4_G1	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Unassigned	Stenotrophomonas sp. 4G1
Ensifer sp. 10D7	10_D7	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	Unassigned	Ensifer sp. 10D7
Lysobacter sp. 12E10	12_E10	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	Unassigned	Lysobacter sp. 12E10
Alcaligenaceae_Unassigned sp. 4H9	4_H9	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenaceae_Unassigned	Unassigned	Alcaligenaceae_Unassigned sp. 4H9
Xanthobacteraceae_Unassigned sp. 22A5	22_A5	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Xanthobacteraceae_Unassigned	Unassigned	Xanthobacteraceae_Unassigned sp. 22A5
Enterobacteriaceae_Unassigned sp. 22F8	22_F8	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacteriaceae_Unassigned	Unassigned	Enterobacteriaceae_Unassigned sp. 22F8
Rhizobium sp. 22D6	22_D6	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Unassigned	Rhizobium sp. 22D6
Sphingobium sp. 22E7	22_E7	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Unassigned	Sphingobium sp. 22E7
Pseudomonas sp. 1F3	1_F3	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned	Pseudomonas sp. 1F3
Bosea sp. 22G2	22_G2	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Bosea	Unassigned	Bosea sp. 22G2
Dyella sp. 22H1	22_H1	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dyella	Unassigned	Dyella sp. 22H1
Comamonadaceae_Unassigned sp. 25A6	25_A6	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae_Unassigned	Unassigned	Comamonadaceae_Unassigned sp. 25A6
Comamonadaceae_Unassigned sp. 12C7	12_C7	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae_Unassigned	Unassigned	Comamonadaceae_Unassigned sp. 12C7
Sphingomonas sp. 10F3	10_F3	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned	Sphingomonas sp. 10F3
Novosphingobium sp. 9E7	9_E7	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Unassigned	Novosphingobium sp. 9E7
Lysobacter sp. 7E8	7_E8	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	Unassigned	Lysobacter sp. 7E8
Zoogloea sp. 9B12	9_B12	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Zoogloea	Unassigned	Zoogloea sp. 9B12
