ASVID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV3579	Bacteria	Chloroflexi	Chloroflexales	Chloroflexales	Roseiflexaceae	Kouleothrix	Unclassified
ASV3580	Bacteria	NB1-j	NB1-j	NB1-j	NB1-j	NB1-j	uncultured_Desulfoglaeba
ASV3581	Bacteria	Acidobacteriota	Vicinamibacterales	Vicinamibacterales	o_Vicinamibacterales|f_uncultured	o_Vicinamibacterales|f_|g_uncultured	unidentified
ASV3582	Bacteria	Chloroflexi	B12-WMSP1	B12-WMSP1	B12-WMSP1	B12-WMSP1	uncultured_Ktedonobacterales
ASV3583	Bacteria	Myxococcota	Haliangiales	Haliangiales	Haliangiaceae	Haliangium	myxobacterium_AT3-03
ASV3584	Bacteria	Myxococcota	Haliangiales	Haliangiales	Haliangiaceae	Haliangium	uncultured_proteobacterium
ASV3585	Bacteria	Proteobacteria	Burkholderiales	Burkholderiales	Sutterellaceae	f_Sutterellaceae|g_uncultured	Unclassified
ASV3587	Bacteria	Proteobacteria	Burkholderiales	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	Unclassified
ASV3589	Bacteria	Proteobacteria	Gammaproteobacteria_Incertae_Sedis	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Acidibacter	Unclassified
ASV3593	Bacteria	Actinobacteriota	Propionibacteriales	Propionibacteriales	Nocardioidaceae	Nocardioides	Unclassified
ASV3594	Bacteria	Bacteroidota	Cytophagales	Cytophagales	o_Cytophagales|f_Unclassified	o_Cytophagales|f_|g_Unclassified	Unclassified
ASV3595	Bacteria	Actinobacteriota	Corynebacteriales	Corynebacteriales	Nocardiaceae	Smaragdicoccus	Smaragdicoccus_niigatensis
ASV3598	Bacteria	Myxococcota	Polyangiales	Polyangiales	Polyangiaceae	f_Polyangiaceae|g_Unclassified	Unclassified
ASV3601	Bacteria	Planctomycetota	vadinHA49	vadinHA49	vadinHA49	vadinHA49	uncultured_Planctomycetales
ASV3603	Bacteria	Proteobacteria	c_Alphaproteobacteria|o_Unclassified	c_Alphaproteobacteria|o_Unclassified	c_Alphaproteobacteria|o_|f_Unclassified	c_Alphaproteobacteria|o_|f_|g_Unclassified	Unclassified
ASV3605	Bacteria	Myxococcota	Haliangiales	Haliangiales	Haliangiaceae	Haliangium	myxobacterium_AT3-03
ASV3606	Bacteria	Actinobacteriota	Solirubrobacterales	Solirubrobacterales	67-14	67-14	uncultured_Conexibacteraceae
ASV3607	Bacteria	Actinobacteriota	Gaiellales	Gaiellales	o_Gaiellales|f_uncultured	o_Gaiellales|f_|g_uncultured	Unclassified
ASV3608	Bacteria	Acidobacteriota	Vicinamibacterales	Vicinamibacterales	Vicinamibacteraceae	Vicinamibacteraceae	uncultured_beta
