Plants, soil_type,group,treat,subgroup,genotype,weight
373,HS,DT,NS,DT_NS,rhd7,72.7
374,HS,DT,NS,DT_NS,rhd7,50.7
375,HS,DT,NS,DT_NS,rhd7,67.9
376,HS,DT,NS,DT_NS,rhd7,72.1
377,HS,WT,NS,WT_NS,Col_0,98
378,HS,WT,NS,WT_NS,Col_0,170.4
379,HS,WT,NS,WT_NS,Col_0,155.7
380,HS,WT,NS,WT_NS,Col_0,251
381,HS,WT,NS,WT_NS,gl2,190.4
382,HS,WT,NS,WT_NS,gl2,124.1
383,HS,WT,NS,WT_NS,gl2,167.5
384,HS,WT,NS,WT_NS,gl2,127.4
385,HS,WT,NS,WT_NS,gl2,139
386,HS,WT,NS,WT_NS,gl2,194.5
387,HS,WT,NS,WT_NS,gl2,201.5
388,HS,WT,NS,WT_NS,gl2,151.4
389,HS,WT,NS,WT_NS,Col_0,163.8
390,HS,WT,NS,WT_NS,Col_0,173.2
391,HS,WT,NS,WT_NS,Col_0,165.7
392,HS,WT,NS,WT_NS,Col_0,163.4
393,HS,WT,NS,WT_NS,rsl2rsl4,194.2
394,HS,WT,NS,WT_NS,rsl2rsl4,179.9
395,HS,WT,NS,WT_NS,rsl2rsl4,165.3
396,HS,WT,NS,WT_NS,rsl2rsl4,136
397,HS,WT,NS,WT_NS,rsl2rsl4,58.9
398,HS,WT,NS,WT_NS,rsl2rsl4,136
399,HS,WT,NS,WT_NS,rsl2rsl4,141.9
400,HS,WT,NS,WT_NS,rsl2rsl4,182.4
401,HS,WT,NS,WT_NS,rhd7,228.1
402,HS,WT,NS,WT_NS,rhd7,154.3
403,HS,WT,NS,WT_NS,rhd7,125.9
404,HS,WT,NS,WT_NS,rhd7,149.9
405,HS,WT,NS,WT_NS,rhd7,116.5
406,HS,WT,NS,WT_NS,rhd7,102.1
407,HS,WT,NS,WT_NS,cpc,69.5
408,HS,WT,NS,WT_NS,cpc,48.9
409,HS,WT,NS,WT_NS,cpc,76.9
410,HS,WT,NS,WT_NS,cpc,115.2
411,HS,WT,NS,WT_NS,cpc,51.4
412,HS,WT,NS,WT_NS,cpc,174.6
